bed_id,branch,department,bed_type,occupied_date,occupied_flag
B1,Bangalore,Orthopedics,General,22-11-2025,0
B2,Bangalore,General Medicine,ICU,11-06-2025,0
B3,Chennai,Pediatrics,ICU,08-07-2025,0
B4,Coimbatore,Pediatrics,General,19-03-2025,1
B5,Chennai,Oncology,ICU,14-01-2025,0
B6,Coimbatore,General Medicine,General,15-07-2025,1
B7,Chennai,Oncology,ICU,11-11-2025,1
B8,Coimbatore,Emergency,ICU,07-03-2025,1
B9,Coimbatore,General Medicine,ICU,22-05-2025,1
B10,Bangalore,Cardiology,General,05-07-2025,0
B11,Chennai,Orthopedics,ICU,20-12-2025,1
B12,Bangalore,Oncology,ICU,08-10-2025,0
B13,Bangalore,Pediatrics,ICU,13-08-2025,1
B14,Chennai,General Medicine,General,06-09-2025,0
B15,Bangalore,Oncology,ICU,25-12-2025,1
B16,Bangalore,General Medicine,ICU,12-05-2025,1
B17,Coimbatore,Orthopedics,General,19-02-2025,1
B18,Chennai,General Medicine,General,17-12-2025,1
B19,Coimbatore,Orthopedics,General,15-08-2025,1
B20,Bangalore,Pediatrics,General,10-12-2025,0
B21,Chennai,Pediatrics,ICU,13-12-2025,0
B22,Coimbatore,General Medicine,ICU,30-11-2025,1
B23,Coimbatore,Pediatrics,ICU,26-12-2025,0
B24,Coimbatore,Emergency,General,28-10-2025,1
B25,Bangalore,General Medicine,ICU,07-02-2025,1
B26,Bangalore,General Medicine,ICU,05-02-2025,1
B27,Coimbatore,Emergency,ICU,26-08-2025,1
B28,Chennai,Cardiology,ICU,20-04-2025,0
B29,Bangalore,Orthopedics,General,16-02-2025,0
B30,Bangalore,General Medicine,General,29-08-2025,1
B31,Chennai,Emergency,ICU,05-01-2025,1
B32,Bangalore,Pediatrics,General,26-11-2025,1
B33,Coimbatore,General Medicine,ICU,13-08-2025,1
B34,Chennai,Oncology,ICU,14-04-2025,1
B35,Coimbatore,Orthopedics,ICU,08-06-2025,1
B36,Bangalore,Orthopedics,ICU,03-08-2025,1
B37,Chennai,Cardiology,ICU,19-09-2025,0
B38,Chennai,Orthopedics,ICU,16-06-2025,1
