doctor_id,date,hours_scheduled,hours_utilized
D8,08-06-2025,8,6.4
D124,05-04-2025,8,5.6
D115,28-03-2025,8,7.7
D94,08-04-2025,8,5.5
D57,16-01-2025,8,5.7
D113,25-12-2025,8,6
D44,31-12-2025,8,5.8
D110,21-04-2025,8,7.3
D134,22-09-2025,8,5.6
D58,15-09-2025,8,5.8
D55,05-11-2025,8,4.4
D40,01-08-2025,8,4.3
D141,14-04-2025,8,5.1
D55,17-11-2025,8,7.9
D115,22-01-2025,8,3.7
D136,14-07-2025,8,3.1
D115,21-01-2025,8,6.7
D105,28-10-2025,8,6
D96,29-06-2025,8,6.2
D101,25-04-2025,8,6.1
D139,27-01-2025,8,4
D29,29-05-2025,8,3.6
D102,01-04-2025,8,5.6
D5,19-12-2025,8,4.3
D5,18-08-2025,8,4.6
D114,04-01-2025,8,6
D34,23-10-2025,8,3
D150,07-05-2025,8,5.3
D136,08-05-2025,8,3.8
D114,16-12-2025,8,4.5
D52,05-07-2025,8,4.8
D1,27-08-2025,8,6.7
D104,21-12-2025,8,6.2
D68,04-12-2025,8,3.7
D21,10-01-2025,8,3.9
D89,17-07-2025,8,4
D104,04-12-2025,8,7.8
D14,26-08-2025,8,4.1
D145,03-03-2025,8,7.2
D150,05-11-2025,8,5.4
D55,06-09-2025,8,6.4
D22,13-04-2025,8,3.6
D119,21-09-2025,8,4.9
D5,14-02-2025,8,5.1
D145,18-06-2025,8,6.4
D79,13-06-2025,8,6.2
D4,29-03-2025,8,3.1
D59,19-06-2025,8,3.7
D2,09-05-2025,8,6.2
D22,17-01-2025,8,3.6
D86,22-11-2025,8,4.6
D110,06-09-2025,8,3.1
D101,04-02-2025,8,5.9
D135,02-11-2025,8,4.7
D19,23-01-2025,8,3.2
D96,19-12-2025,8,5.5
D18,04-12-2025,8,6.3
D29,24-03-2025,8,6.9
D105,25-08-2025,8,4.1
D118,29-06-2025,8,7.2
D88,24-03-2025,8,7
D73,14-12-2025,8,3.1
D98,20-08-2025,8,4.9
D149,23-08-2025,8,6.8
D105,17-11-2025,8,7.3
D19,16-01-2025,8,7.4
D101,24-04-2025,8,4.8
D78,30-01-2025,8,4.5
D107,22-01-2025,8,3.6
D148,18-02-2025,8,7.6
D42,19-09-2025,8,4.6
D122,04-05-2025,8,5.3
D28,16-09-2025,8,3.8
D111,13-07-2025,8,3.5
D114,03-03-2025,8,4.5
D47,11-04-2025,8,6.1
D35,25-12-2025,8,5.2
D2,27-08-2025,8,5.2
D122,29-09-2025,8,6.6
D92,09-08-2025,8,3
D33,02-08-2025,8,7.7
